name,obs,nmiss,unique,mean,std_dev,median,mode,min,max,p1,p5,p25,p75,p95,p99,skewness,
url,39717,0,39717,-,-,-,"0        https://lendingclub.com/browse/loanDetail.acti...
1        https://lendingclub.com/browse/loanDetail.acti...
2        https://lendingclub.com/browse/loanDetail.acti...
3        https://lendingclub.com/browse/loanDetail.acti...
4        https://lendingclub.com/browse/loanDetail.acti...
5        https://lendingclub.com/browse/loanDetail.acti...
6        https://lendingclub.com/browse/loanDetail.acti...
7        https://lendingclub.com/browse/loanDetail.acti...
8        https://lendingclub.com/browse/loanDetail.acti...
9        https://lendingclub.com/browse/loanDetail.acti...
10       https://lendingclub.com/browse/loanDetail.acti...
11       https://lendingclub.com/browse/loanDetail.acti...
12       https://lendingclub.com/browse/loanDetail.acti...
13       https://lendingclub.com/browse/loanDetail.acti...
14       https://lendingclub.com/browse/loanDetail.acti...
15       https://lendingclub.com/browse/loanDetail.acti...
16       https://lendingclub.com/browse/loanDetail.acti...
17       https://lendingclub.com/browse/loanDetail.acti...
18       https://lendingclub.com/browse/loanDetail.acti...
19       https://lendingclub.com/browse/loanDetail.acti...
20       https://lendingclub.com/browse/loanDetail.acti...
21       https://lendingclub.com/browse/loanDetail.acti...
22       https://lendingclub.com/browse/loanDetail.acti...
23       https://lendingclub.com/browse/loanDetail.acti...
24       https://lendingclub.com/browse/loanDetail.acti...
25       https://lendingclub.com/browse/loanDetail.acti...
26       https://lendingclub.com/browse/loanDetail.acti...
27       https://lendingclub.com/browse/loanDetail.acti...
28       https://lendingclub.com/browse/loanDetail.acti...
29       https://lendingclub.com/browse/loanDetail.acti...
                               ...                        
39687    https://lendingclub.com/browse/loanDetail.acti...
39688    https://lendingclub.com/browse/loanDetail.acti...
39689    https://lendingclub.com/browse/loanDetail.acti...
39690    https://lendingclub.com/browse/loanDetail.acti...
39691    https://lendingclub.com/browse/loanDetail.acti...
39692    https://lendingclub.com/browse/loanDetail.acti...
39693    https://lendingclub.com/browse/loanDetail.acti...
39694    https://lendingclub.com/browse/loanDetail.acti...
39695    https://lendingclub.com/browse/loanDetail.acti...
39696    https://lendingclub.com/browse/loanDetail.acti...
39697    https://lendingclub.com/browse/loanDetail.acti...
39698    https://lendingclub.com/browse/loanDetail.acti...
39699    https://lendingclub.com/browse/loanDetail.acti...
39700    https://lendingclub.com/browse/loanDetail.acti...
39701    https://lendingclub.com/browse/loanDetail.acti...
39702    https://lendingclub.com/browse/loanDetail.acti...
39703    https://lendingclub.com/browse/loanDetail.acti...
39704    https://lendingclub.com/browse/loanDetail.acti...
39705    https://lendingclub.com/browse/loanDetail.acti...
39706    https://lendingclub.com/browse/loanDetail.acti...
39707    https://lendingclub.com/browse/loanDetail.acti...
39708    https://lendingclub.com/browse/loanDetail.acti...
39709    https://lendingclub.com/browse/loanDetail.acti...
39710    https://lendingclub.com/browse/loanDetail.acti...
39711    https://lendingclub.com/browse/loanDetail.acti...
39712    https://lendingclub.com/browse/loanDetail.acti...
39713    https://lendingclub.com/browse/loanDetail.acti...
39714    https://lendingclub.com/browse/loanDetail.acti...
39715    https://lendingclub.com/browse/loanDetail.acti...
39716    https://lendingclub.com/browse/loanDetail.acti...
Length: 39717, dtype: object",-,-,-,-,-,-,-,-,-,
desc,26778,12939,26528,-,-,-,"0     
dtype: object",-,-,-,-,-,-,-,-,-,
purpose,39717,0,14,-,-,-,"0    debt_consolidation
dtype: object",-,-,-,-,-,-,-,-,-,
title,39707,10,19615,-,-,-,"0    Debt Consolidation
dtype: object",-,-,-,-,-,-,-,-,-,
zip_code,39717,0,823,-,-,-,"0    100xx
dtype: object",-,-,-,-,-,-,-,-,-,
addr_state,39717,0,50,-,-,-,"0    CA
dtype: object",-,-,-,-,-,-,-,-,-,
delinq_2yrs,39717,0,11,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
earliest_cr_line,39717,0,526,-,-,-,"0    11/1/1998
dtype: object",-,-,-,-,-,-,-,-,-,
inq_last_6mths,39717,0,9,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
mths_since_last_delinq,14035,25682,95,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
